magnetic_field,conductivity,water_flow,heart_rate,blood_pressure,gs_zone
0.45,5.2,0.8,75,120,1
0.30,4.8,0.6,70,115,0
0.55,5.0,0.9,80,130,1
0.45,5.2,0.8,75,120,1
0.30,4.8,0.6,70,115,0
0.55,5.0,0.9,80,130,1
0.42,5.5,0.7,72,118,1
0.38,4.9,0.65,68,112,0
0.50,5.3,0.75,78,125,1
0.48,5.1,0.82,76,122,1
0.33,4.7,0.55,67,110,0
0.52,5.4,0.78,79,128,1
0.40,5.0,0.68,73,119,0
0.47,5.2,0.77,77,123,1
0.36,4.8,0.62,69,114,0
0.43,5.3,0.73,74,117,1
0.31,4.7,0.58,71,116,0
0.54,5.1,0.85,81,132,1
0.39,5.0,0.72,76,121,1
0.49,5.4,0.79,77,124,1
0.44,5.2,0.74,73,118,1
0.34,4.9,0.63,70,113,0
0.51,5.3,0.76,79,127,1
0.37,4.8,0.61,68,111,0
0.46,5.1,0.81,75,120,1
0.32,4.7,0.59,72,115,0
0.53,5.2,0.83,80,129,1
0.41,5.0,0.69,74,119,0
0.35,4.8,0.64,69,112,0
0.56,5.5,0.88,82,133,1
0.29,4.7,0.57,67,110,0
0.58,5.0,0.91,83,135,1
0.60,5.2,0.95,85,138,1
0.27,4.6,0.53,65,108,0
0.57,5.1,0.89,84,136,1
0.61,5.3,0.97,86,140,1
0.28,4.7,0.55,66,109,0
0.59,5.0,0.93,82,134,1
0.62,5.4,0.99,88,142,1
0.26,4.6,0.51,64,107,0
0.63,5.1,1.01,90,144,1
0.25,4.5,0.49,63,105,0
0.64,5.2,1.03,92,146,1
0.24,4.4,0.47,62,103,0
0.65,5.0,1.05,94,148,1
0.23,4.3,0.45,61,101,0
0.66,5.3,1.07,96,150,1
0.22,4.2,0.43,60,99,0
0.67,5.1,1.09,98,152,1
0.21,4.1,0.41,59,97,0
0.68,5.2,1.11,100,154,1
0.20,4.0,0.39,58,95,0
0.69,5.0,1.13,102,156,1
0.19,3.9,0.37,57,93,0
0.70,5.3,1.15,104,158,1
0.18,3.8,0.35,56,91,0
0.71,5.1,1.17,106,160,1
0.17,3.7,0.33,55,89,0
0.72,5.2,1.19,108,162,1
0.16,3.6,0.31,54,87,0
0.73,5.0,1.21,110,164,1
0.15,3.5,0.29,53,85,0
0.74,5.3,1.23,112,166,1
0.14,3.4,0.27,52,83,0
0.75,5.1,1.25,114,168,1
0.13,3.3,0.25,51,81,0
0.76,5.2,1.27,116,170,1
0.12,3.2,0.23,50,79,0
0.77,5.0,1.29,118,172,1
0.11,3.1,0.21,49,77,0
0.78,5.3,1.31,120,174,1
0.10,3.0,0.19,48,75,0
